no,match_id,leagueid,key,value,data_year
122712,5498389891,12069,haha,1,2020
131942,5527736609,11961,happening,1,2020
187283,5708720225,12577,lagi,1,2020
113342,5471608961,11249,gg,2,2020
191812,5721896062,12093,ща,2,2020
184358,5702091104,12577,d,1,2020
193377,5729062598,12531,lost,1,2020
199636,5743042539,12677,take,1,2020
181536,5694667514,12496,still,1,2020
142728,5564921307,12245,шоу,1,2020
171273,5669422517,12532,hahaha,1,2020
154304,5607668224,11863,admin,3,2020
191355,5720298424,12577,mau,1,2020
101249,5452561441,11889,sefc,1,2020
158497,5626225690,12436,коментарии,1,2020
122096,5494510142,12074,sec,1,2020
132906,5532532409,12096,miss,1,2020
147040,5577105970,12242,как,1,2020
191207,5719990539,12556,now,1,2020
144077,5568183658,12116,sec,1,2020
131048,5523478057,12096,sec,2,2020
124191,5501644574,11382,gg,2,2020
111968,5469136080,10650,ayo,1,2020
110443,5467552794,12100,dg,2,2020
141072,5560006704,12093,спгут,1,2020
175565,5679229754,12532,foi,1,2020
130537,5521353853,12170,le,1,2020
185719,5702450746,10650,main,1,2020
160710,5632468016,11863,sry,2,2020
122545,5497316457,12139,g,3,2020
112829,5470623242,12101,ro,1,2020
132106,5529241966,12170,think,1,2020
140830,5559419876,12270,gwr,1,2020
167926,5659354375,12375,they,1,2020
106602,5462157706,12005,hf,3,2020
100592,5450332626,11796,буземно,1,2020
110415,5467552794,12100,are,1,2020
166996,5653691522,12295,cogs,1,2020
125913,5506597966,12170,gg,2,2020
185207,5702288654,12093,вот,1,2020
196808,5738584321,11912,licor,1,2020
141561,5560306536,12093,дотатв,1,2020
130532,5521353853,12170,im,1,2020
174902,5677272676,12436,ggs,1,2020
199060,5742655943,11863,morri,1,2020
167290,5655570369,12031,dx,2,2020
136354,5543516410,12227,yan,3,2020
132751,5532053387,12116,never,1,2020
115927,5476251416,11464,shen,1,2020
140839,5559419876,12270,sry,4,2020
126413,5507850881,12160,srry,1,2020
128215,5513057437,12185,hf,1,2020
108354,5465176410,12005,hf,1,2020
156603,5618232107,12205,shoutout,1,2020
175686,5679466213,12532,your,1,2020
154614,5610731096,11863,lomii,1,2020
120321,5487444232,11439,iranan,1,2020
178323,5687084803,12496,ty,4,2020
199860,5743945524,11912,era,1,2020
115014,5473699698,12113,best,1,2020
178404,5687257713,12532,chicken,1,2020
103328,5458114529,12069,sec,1,2020
112606,5470243720,12003,for,3,2020
199982,5743985488,11912,fff,1,2020
164874,5649414517,12205,u,3,2020
164961,5649724364,12375,hf,1,2020
181419,5694647508,12531,mini,1,2020
108146,5464925029,11863,boyba,1,2020
191711,5721888934,12093,без,1,2020
123986,5500588508,12175,tvoi,1,2020
155337,5613448681,11863,g,2,2020
190328,5714632836,12548,cat,2,2020
189887,5712434234,12214,khord,1,2020
107790,5464162875,12101,pause,1,2020
177869,5685462585,12214,ma,1,2020
