no,is_pick,hero_id,team,order,ord,match_id,leagueid,data_year
102562,True,19.0,0.0,9.0,9.0,5323288326,11823,2020
192786,True,57.0,1.0,20.0,20.0,5417733984,11792,2020
147720,True,87.0,0.0,10.0,10.0,5376593940,2091,2020
190575,True,104.0,0.0,9.0,9.0,5415996411,11263,2020
163803,False,10.0,1.0,6.0,6.0,5393166494,11921,2020
151926,False,25.0,1.0,4.0,4.0,5380479646,11478,2020
112809,False,32.0,1.0,12.0,12.0,5336641830,11823,2020
109970,True,126.0,1.0,20.0,20.0,5334112527,11829,2020
195947,False,128.0,0.0,3.0,3.0,5420511688,11249,2020
155260,True,10.0,0.0,17.0,17.0,5383892677,11249,2020
134733,False,128.0,0.0,4.0,4.0,5362452125,11864,2020
124079,False,126.0,1.0,2.0,2.0,5350965128,11823,2020
136164,False,66.0,1.0,5.0,5.0,5363768997,11717,2020
140483,False,126.0,1.0,3.0,3.0,5367375000,11898,2020
143515,False,29.0,1.0,6.0,6.0,5371280810,11898,2020
169265,False,98.0,0.0,3.0,3.0,5399555128,11792,2020
170103,False,77.0,0.0,5.0,5.0,5399985854,11382,2020
149650,False,32.0,0.0,4.0,4.0,5378444489,11829,2020
145579,False,66.0,0.0,3.0,3.0,5373723003,11828,2020
169293,True,98.0,0.0,9.0,9.0,5399555420,11263,2020
115020,False,32.0,1.0,1.0,1.0,5339801361,11461,2020
177510,True,120.0,0.0,20.0,20.0,5406355191,12012,2020
131024,False,96.0,1.0,12.0,12.0,5359697217,11439,2020
196099,False,98.0,0.0,1.0,1.0,5420610031,11370,2020
177868,False,43.0,0.0,4.0,4.0,5406638420,12027,2020
149872,False,110.0,0.0,6.0,6.0,5378539234,11829,2020
146993,True,129.0,0.0,9.0,9.0,5375609700,11898,2020
162571,False,49.0,0.0,5.0,5.0,5391830268,11966,2020
119752,False,129.0,1.0,5.0,5.0,5346162407,11370,2020
197117,False,82.0,0.0,19.0,19.0,5422005161,11912,2020
199776,False,79.0,1.0,4.0,4.0,5424243936,11249,2020
189423,True,70.0,0.0,16.0,16.0,5415026329,11439,2020
154677,False,66.0,0.0,5.0,5.0,5382984129,11877,2020
155986,True,121.0,1.0,8.0,8.0,5384489422,11877,2020
130814,False,79.0,1.0,0.0,0.0,5359617501,11823,2020
141744,True,126.0,1.0,15.0,15.0,5368920355,11863,2020
173293,False,126.0,1.0,5.0,5.0,5403621019,11953,2020
179096,True,23.0,0.0,21.0,21.0,5407530614,11370,2020
160959,True,4.0,0.0,21.0,21.0,5389903991,11792,2020
193214,True,31.0,1.0,8.0,8.0,5418051844,11828,2020
198051,False,129.0,0.0,7.0,7.0,5422575974,11249,2020
195184,True,104.0,1.0,10.0,10.0,5420076165,12003,2020
100741,False,91.0,0.0,1.0,1.0,5320972527,11263,2020
154861,False,100.0,0.0,13.0,13.0,5383545098,11249,2020
126162,False,111.0,0.0,18.0,18.0,5353861756,11623,2020
149742,True,31.0,1.0,8.0,8.0,5378453025,11829,2020
194848,True,79.0,1.0,14.0,14.0,5419840311,11980,2020
148246,True,106.0,1.0,8.0,8.0,5377137375,11889,2020
178159,True,85.0,0.0,9.0,9.0,5406957295,11263,2020
129585,True,108.0,1.0,21.0,21.0,5358310491,11863,2020
194568,True,51.0,1.0,20.0,20.0,5419433402,11912,2020
142896,False,111.0,1.0,2.0,2.0,5370104824,11836,2020
166519,False,43.0,1.0,6.0,6.0,5396015767,11382,2020
163531,True,88.0,0.0,20.0,20.0,5392723899,11947,2020
157371,False,43.0,0.0,7.0,7.0,5386175643,11668,2020
146570,False,43.0,1.0,4.0,4.0,5375340143,11898,2020
114636,False,7.0,0.0,13.0,13.0,5339574619,11382,2020
120569,True,28.0,0.0,20.0,20.0,5346649403,11829,2020
142366,False,129.0,0.0,0.0,0.0,5369664952,11863,2020
166718,False,43.0,0.0,7.0,7.0,5396081457,11382,2020
100699,False,95.0,1.0,3.0,3.0,5320869655,11806,2020
198190,True,104.0,1.0,14.0,14.0,5422629162,11974,2020
160008,True,78.0,0.0,16.0,16.0,5389107114,11913,2020
133591,False,68.0,1.0,6.0,6.0,5361703761,11829,2020
154319,True,25.0,0.0,21.0,21.0,5382419171,11831,2020
186374,True,121.0,0.0,9.0,9.0,5412968084,11382,2020
154026,True,100.0,1.0,14.0,14.0,5382108620,11898,2020
109289,True,15.0,0.0,21.0,21.0,5333916118,11829,2020
177439,True,100.0,1.0,15.0,15.0,5406199236,12027,2020
141663,False,106.0,1.0,0.0,0.0,5368718715,11831,2020
115619,False,64.0,1.0,6.0,6.0,5340078426,11263,2020
178011,True,110.0,0.0,15.0,15.0,5406653543,12027,2020
159908,False,99.0,0.0,4.0,4.0,5388984061,11921,2020
124686,True,119.0,0.0,16.0,16.0,5351974338,11863,2020
161369,False,74.0,1.0,13.0,13.0,5390494362,11947,2020
180601,False,110.0,1.0,0.0,0.0,5408944975,11953,2020
174573,True,84.0,1.0,9.0,9.0,5404634706,12027,2020
196036,False,106.0,1.0,4.0,4.0,5420565501,11249,2020
139048,False,76.0,1.0,18.0,18.0,5366250782,11478,2020
105015,True,88.0,0.0,15.0,15.0,5327367527,11800,2020
114619,False,15.0,1.0,18.0,18.0,5339573962,11461,2020
189141,True,80.0,0.0,20.0,20.0,5414885014,11439,2020
190757,True,8.0,1.0,15.0,15.0,5416092914,11263,2020
117892,True,7.0,0.0,14.0,14.0,5343648552,11382,2020
147231,False,49.0,0.0,5.0,5.0,5375839426,11831,2020
189526,True,90.0,1.0,9.0,9.0,5415098050,12036,2020
101810,True,53.0,0.0,15.0,15.0,5322160813,11683,2020
123020,False,11.0,1.0,19.0,19.0,5349815434,11863,2020
164301,True,43.0,1.0,20.0,20.0,5393730639,11263,2020
182590,True,56.0,0.0,9.0,9.0,5410661394,12008,2020
100220,True,128.0,0.0,8.0,8.0,5319798001,10884,2020
124390,False,98.0,1.0,6.0,6.0,5351188654,11806,2020
129983,False,102.0,1.0,5.0,5.0,5358821362,11249,2020
124378,True,59.0,0.0,16.0,16.0,5351183794,11263,2020
142310,True,52.0,0.0,10.0,10.0,5369611338,11249,2020
165257,True,17.0,0.0,20.0,20.0,5394356268,11836,2020
116812,False,82.0,0.0,12.0,12.0,5341783081,11834,2020
135664,True,41.0,1.0,11.0,11.0,5363258575,11668,2020
162869,True,8.0,0.0,17.0,17.0,5391972588,11382,2020
155990,False,98.0,1.0,12.0,12.0,5384489422,11877,2020
120306,True,121.0,0.0,9.0,9.0,5346638285,11829,2020
118738,False,98.0,0.0,3.0,3.0,5344617985,11823,2020
118620,True,32.0,0.0,17.0,17.0,5344259298,11823,2020
168907,False,104.0,0.0,18.0,18.0,5398885280,11829,2020
100518,True,45.0,1.0,20.0,20.0,5320591798,11382,2020
169471,True,86.0,1.0,11.0,11.0,5399693185,11953,2020
170743,False,120.0,1.0,7.0,7.0,5401219854,11966,2020
131683,False,88.0,1.0,12.0,12.0,5360122797,11823,2020
127232,True,88.0,0.0,10.0,10.0,5355031027,11623,2020
193008,False,126.0,1.0,0.0,0.0,5417912132,11973,2020
157050,True,43.0,0.0,16.0,16.0,5385865051,11792,2020
190913,True,46.0,1.0,17.0,17.0,5416155802,11964,2020
182968,False,48.0,0.0,13.0,13.0,5410852916,11263,2020
149885,False,10.0,0.0,19.0,19.0,5378539234,11829,2020
185312,False,38.0,0.0,3.0,3.0,5412559936,11980,2020
139623,False,38.0,1.0,0.0,0.0,5366487840,11829,2020
107774,False,65.0,1.0,2.0,2.0,5331119613,11807,2020
143089,False,61.0,0.0,19.0,19.0,5370392981,11928,2020
105569,False,13.0,1.0,19.0,19.0,5328671582,11382,2020
188386,False,12.0,0.0,13.0,13.0,5414540154,12027,2020
141895,False,111.0,1.0,12.0,12.0,5369318606,11898,2020
161988,True,95.0,0.0,16.0,16.0,5391401035,11953,2020
113076,True,41.0,1.0,15.0,15.0,5337363871,11382,2020
167219,False,80.0,1.0,2.0,2.0,5396441960,11831,2020
198672,False,63.0,0.0,12.0,12.0,5423197257,11974,2020
117938,True,65.0,0.0,16.0,16.0,5343681692,11834,2020
109696,True,87.0,0.0,10.0,10.0,5333995945,11829,2020
168197,False,51.0,1.0,12.0,12.0,5398075846,11382,2020
112880,True,12.0,0.0,17.0,17.0,5336741067,11829,2020
144202,True,71.0,0.0,11.0,11.0,5371842670,11828,2020
189913,False,106.0,1.0,7.0,7.0,5415379304,12027,2020
176480,False,129.0,1.0,13.0,13.0,5405548564,12012,2020
183703,False,129.0,1.0,0.0,0.0,5411211616,11980,2020
133035,False,77.0,1.0,0.0,0.0,5361474721,11823,2020
156194,False,49.0,1.0,18.0,18.0,5384783029,11947,2020
116224,True,42.0,0.0,17.0,17.0,5341392180,11461,2020
174648,False,99.0,1.0,18.0,18.0,5404636554,12027,2020
117781,False,15.0,0.0,13.0,13.0,5343590769,11461,2020
161621,False,121.0,0.0,1.0,1.0,5390946229,11889,2020
174798,True,83.0,0.0,14.0,14.0,5404642673,12027,2020
171717,False,51.0,0.0,13.0,13.0,5401813467,11792,2020
192361,False,10.0,1.0,13.0,13.0,5417318704,12012,2020
185620,False,126.0,1.0,3.0,3.0,5412668723,11382,2020
170742,False,129.0,0.0,6.0,6.0,5401219854,11966,2020
104094,False,104.0,1.0,18.0,18.0,5326738326,11382,2020
193612,True,17.0,1.0,20.0,20.0,5418242103,11973,2020
124511,True,129.0,0.0,17.0,17.0,5351394717,11478,2020
176286,True,72.0,0.0,17.0,17.0,5405461984,12027,2020
125012,False,96.0,0.0,12.0,12.0,5352653787,11806,2020
173099,True,2.0,0.0,9.0,9.0,5403498209,12027,2020
192690,False,77.0,0.0,12.0,12.0,5417682655,11912,2020
174462,True,31.0,1.0,8.0,8.0,5404632691,12027,2020
106580,False,59.0,1.0,18.0,18.0,5329399598,11263,2020
111164,False,79.0,0.0,4.0,4.0,5335659941,11823,2020
127491,True,44.0,1.0,17.0,17.0,5355205942,11263,2020
196033,False,110.0,0.0,1.0,1.0,5420565501,11249,2020
163870,False,126.0,1.0,7.0,7.0,5393338399,11921,2020
122372,True,50.0,1.0,9.0,9.0,5348543044,11806,2020
189512,True,19.0,1.0,17.0,17.0,5415084797,11439,2020
113613,False,79.0,1.0,2.0,2.0,5337842197,11461,2020
168266,True,51.0,1.0,15.0,15.0,5398117963,11966,2020
148418,False,51.0,0.0,4.0,4.0,5377359812,11887,2020
154494,True,35.0,1.0,20.0,20.0,5382688643,11947,2020
124480,True,79.0,0.0,8.0,8.0,5351299150,11823,2020
168827,False,53.0,0.0,4.0,4.0,5398766390,11831,2020
114070,False,1.0,1.0,19.0,19.0,5338549449,11823,2020
196881,False,66.0,0.0,3.0,3.0,5421678410,11912,2020
125236,True,13.0,0.0,16.0,16.0,5352772307,11263,2020
164063,False,96.0,0.0,2.0,2.0,5393529703,11966,2020
153255,False,99.0,0.0,13.0,13.0,5381267268,11863,2020
121041,True,27.0,1.0,8.0,8.0,5346920886,11027,2020
119867,True,83.0,0.0,10.0,10.0,5346225263,11263,2020
132824,True,49.0,0.0,9.0,9.0,5361274214,11370,2020
178373,False,90.0,1.0,2.0,2.0,5407087061,11980,2020
165842,True,98.0,1.0,11.0,11.0,5395496203,11263,2020
178162,False,23.0,1.0,12.0,12.0,5406957295,11263,2020
115213,False,104.0,1.0,18.0,18.0,5339896413,11099,2020
124272,True,23.0,1.0,19.0,19.0,5351035150,11263,2020
199251,False,104.0,0.0,19.0,19.0,5424010693,11980,2020
118263,False,49.0,1.0,12.0,12.0,5343945840,11823,2020
115965,False,51.0,1.0,0.0,0.0,5340682781,11823,2020
135413,False,98.0,1.0,2.0,2.0,5363123333,11735,2020
104510,True,96.0,1.0,16.0,16.0,5326991410,11382,2020
100182,True,107.0,0.0,14.0,14.0,5319700729,11823,2020
153113,False,10.0,1.0,3.0,3.0,5381117828,11829,2020
137385,True,85.0,1.0,16.0,16.0,5364628405,11829,2020
113740,False,28.0,0.0,19.0,19.0,5337931322,11099,2020
175017,True,39.0,1.0,20.0,20.0,5404993802,11953,2020
