no,order,pick,active_team,hero_id,player_slot,extra_time,total_time_taken,match_id,leagueid,data_year
66519,15.0,True,3.0,93.0,7.0,87.0,64.0,5271317372,11694,2020
63531,16.0,True,2.0,15.0,0.0,93.0,62.0,5267743570,11181,2020
57371,15.0,True,2.0,3.0,0.0,109.0,5.0,5258763740,11668,2020
46570,15.0,True,2.0,87.0,4.0,130.0,31.0,5242723914,11661,2020
14636,16.0,True,2.0,31.0,0.0,94.0,7.0,5203537306,11620,2020
20569,10.0,True,3.0,104.0,7.0,79.0,42.0,5216376648,11263,2020
42366,1.0,False,2.0,4.0,,130.0,5.0,5238303178,11661,2020
66718,16.0,True,2.0,86.0,0.0,128.0,19.0,5271642841,11694,2020
699,20.0,False,2.0,79.0,,78.0,20.0,5179850112,11249,2020
98190,2.0,False,2.0,126.0,,130.0,3.0,5316480529,11370,2020
60008,13.0,False,2.0,57.0,,130.0,7.0,5262534514,11623,2020
33591,3.0,False,3.0,54.0,,130.0,10.0,5231714148,10884,2020
54319,19.0,False,3.0,46.0,,63.0,43.0,5254613326,11620,2020
86374,18.0,True,3.0,104.0,6.0,47.0,84.0,5298937105,11591,2020
54026,12.0,False,3.0,51.0,,2.0,60.0,5254292047,11419,2020
9289,14.0,False,3.0,62.0,,95.0,54.0,5195070096,11249,2020
77439,22.0,True,2.0,96.0,4.0,37.0,3.0,5286074942,11263,2020
41663,2.0,False,2.0,88.0,,130.0,7.0,5237017778,11661,2020
15619,9.0,True,2.0,93.0,1.0,123.0,1.0,5205887496,11592,2020
78011,12.0,False,2.0,98.0,,64.0,18.0,5286891493,11468,2020
59908,1.0,False,2.0,98.0,,130.0,2.0,5262308590,11719,2020
24686,21.0,True,3.0,96.0,6.0,127.0,56.0,5223458206,11602,2020
61369,10.0,True,2.0,119.0,4.0,97.0,34.0,5264734933,11604,2020
80601,17.0,True,2.0,12.0,0.0,105.0,83.0,5290105232,11623,2020
74573,15.0,True,2.0,101.0,0.0,119.0,36.0,5282544861,10884,2020
96036,4.0,False,3.0,95.0,,124.0,16.0,5312984175,11806,2020
39048,15.0,True,2.0,8.0,1.0,107.0,11.0,5235268184,11661,2020
5015,4.0,False,2.0,47.0,,130.0,26.0,5188327771,11249,2020
14619,21.0,True,3.0,53.0,7.0,40.0,1.0,5203533888,11592,2020
89141,14.0,False,3.0,126.0,,60.0,104.0,5303668489,11683,2020
90757,14.0,False,3.0,111.0,,25.0,96.0,5306685244,11591,2020
17892,16.0,True,3.0,75.0,5.0,121.0,17.0,5211664442,11263,2020
47231,16.0,True,3.0,7.0,9.0,39.0,35.0,5243516139,11661,2020
