no,match_id,barracks_status_dire,barracks_status_radiant,cluster,dire_score,duration,engine,first_blood_time,game_mode,human_players,leagueid,lobby_type,match_seq_num,negative_votes,positive_votes,radiant_score,radiant_win,start_date_time,tower_status_dire,tower_status_radiant,version,replay_salt,series_id,series_type,patch,region,throw,loss,comeback,stomp,replay_url,dire_team_id,radiant_team_id,data_year,pre_game_duration,flags,radiant_logo,radiant_team_complete,dire_logo,dire_team_complete,radiant_captain,dire_captain,average_rank
699,5205357861,'00111111','00110011',236,32,1037,1,81,2,10,11382,1,4368038462,0.0,1.0,5,False,21/1/20 06:42,'0000011111111100','0000011110000111',21.0,1681011006.0,401586.0,1.0,42,13.0,,,23.0,13036.0,http://replay236.wmsj.cn/570/5205357861_1681011006.dem.bz2,,,2020,,,,,,,,,
4510,7589351087,'00111111','00110011',272,32,1457,1,326,2,10,16059,1,6389588775,,,19,False,2024-02-16 07:59:38,'0000011111110100','0000000110000110',21.0,1228233169.0,,,54,3.0,,,0.0,18100.0,http://replay272.valve.net/570/7589351087_1228233169.dem.bz2,8629324.0,8629005.0,2024,90.0,4.0,1.9720440230379745e+18,1.0,2.0170889923102912e+18,1.0,1200963940.0,1133046148.0,
21060,6863180067,'00111111','00111111',273,23,1936,1,14,2,10,14750,1,5750672531,0.0,0.0,37,True,2022-11-14 03:15:39,'0000011100000100','0000011100110110',21.0,783560919.0,723553.0,1.0,51,3.0,3047.0,5628.0,,,http://replay273.valve.net/570/6863180067_783560919.dem.bz2,,,2022,,,,,,,,,
11273,6194119658,'00000000','00111111',155,17,1968,1,150,2,10,13540,1,5180920950,0.0,0.0,35,True,2021-09-24 08:05:26,'0000011000000000','0000011110111111',21.0,779020017.0,597572.0,0.0,49,5.0,0.0,24102.0,,,http://replay155.valve.net/570/6194119658_779020017.dem.bz2,,,2021,,,,,,,,,
15371,6700620849,'00111111','00000011',274,40,2012,1,110,2,10,14200,1,5605008694,0.0,0.0,30,False,2022-08-10 09:23:13,'0000011111110110','0000001000000111',21.0,1084626083.0,693677.0,1.0,50,3.0,,,1173.0,19050.0,http://replay274.valve.net/570/6700620849_1084626083.dem.bz2,,,2022,,,,,,,,,
22504,7345555917,'00000010','00111111',272,36,1973,1,0,2,10,15669,1,6183021015,,,39,True,2023-09-21 17:29:23,'0000000000000000','0000011110110111',21.0,903828930.0,809021.0,1.0,53,3.0,307.0,19838.0,,,http://replay272.valve.net/570/7345555917_903828930.dem.bz2,,,2023,,,,,,,,,
15078,6694900557,'00111111','00000000',274,71,2581,1,46,2,10,14200,1,5599899435,0.0,0.0,33,False,2022-08-06 12:27:47,'0000011111110110','0000011000000000',21.0,1679991945.0,692440.0,1.0,50,3.0,,,0.0,34776.0,http://replay274.valve.net/570/6694900557_1679991945.dem.bz2,,,2022,,,,,,,,,
9289,5426921865,'00100000','00111111',251,17,2150,1,7,2,10,11889,1,4548627760,10.0,46.0,57,True,21/5/20 01:36,'0000011000000000','0000011100110110',21.0,1598922559.0,446540.0,1.0,45,15.0,,,,,http://replay251.valve.net/570/5426921865_1598922559.dem.bz2,,,2020,,,,,,,,,
13569,7189681341,'00111111','00110011',152,24,1939,1,10,2,10,15375,1,6043355255,0.0,0.0,19,False,2023-06-07 09:10:44,'0000011110110110','0000000110000100',21.0,1688876536.0,782981.0,1.0,52,5.0,,,,,http://replay152.valve.net/570/7189681341_1688876536.dem.bz2,,,2023,,,,,,,,,
2715,6444465864,'00111111','00110011',225,35,1978,1,209,2,10,13978,1,5386283291,0.0,0.0,11,False,2022-02-22 13:10:18,'0000011110110110','0000011100000100',21.0,612420376.0,644870.0,1.0,49,17.0,,,1665.0,13842.0,http://replay225.valve.net/570/6444465864_612420376.dem.bz2,,,2022,,,,,,,,,
15619,5581274533,'00110011','00111111',133,8,1371,1,303,2,10,12245,1,4685324898,0.0,0.0,27,True,23/8/20 12:00,'0000011110000100','0000011110111111',21.0,1020545460.0,474205.0,1.0,46,3.0,,,,,http://replay133.valve.net/570/5581274533_1020545460.dem.bz2,,,2020,,,,,,,,,
14141,7198345469,'00010011','00111111',272,13,2457,1,101,2,10,15439,1,6051172085,0.0,0.0,27,True,2023-06-13 09:55:02,'0000000000000110','0000011110110100',21.0,178305185.0,784331.0,1.0,52,3.0,4883.0,12974.0,,,http://replay272.valve.net/570/7198345469_178305185.dem.bz2,,,2023,,,,,,,,,
20960,6858947336,'00001111','00111111',144,5,1459,1,0,2,10,14608,1,5746866037,0.0,0.0,47,True,2022-11-12 06:47:16,'0000011000000100','0000011111111111',21.0,237622924.0,722689.0,0.0,51,19.0,323.0,27076.0,,,http://replay144.valve.net/570/6858947336_237622924.dem.bz2,,,2022,,,,,,,,,
2368,5845595093,'00111111','00110000',203,29,1864,1,272,2,10,12727,1,4918112692,0.0,0.0,19,False,2021-02-19 23:48:13,'0000011100110100','0000000110000000',21.0,133497719.0,531177.0,1.0,47,10.0,,,2473.0,16455.0,http://replay203.valve.net/570/5845595093_133497719.dem.bz2,,,2021,,,,,,,,,
