no,minute,gold,match_id,leagueid,data_year
67219,12,1001.0,5237902257,11661,2020
98672,17,2002.0,5265301331,11099,2020
17938,17,6080.0,5197633889,11263,2020
9696,22,-413.0,5189678823,11533,2020
68197,7,246.0,5238975147,11661,2020
12880,6,289.0,5192871847,11490,2020
44202,27,12644.0,5225941178,11591,2020
89913,4,420.0,5257662905,11478,2020
76480,52,-13124.0,5245367720,11661,2020
83703,2,390.0,5251978373,11716,2020
33035,25,1578.0,5214550093,11263,2020
56194,9,-2200.0,5232281273,11629,2020
16224,26,848.0,5195740614,11600,2020
74648,6,1785.0,5243046271,11661,2020
17781,20,7055.0,5197470877,11263,2020
61621,10,-1734.0,5235088829,11661,2020
74798,11,2705.0,5243125282,11661,2020
71717,11,10716.0,5241187069,11439,2020
92361,19,4465.0,5260070702,11620,2020
85620,30,4356.0,5253343696,11668,2020
70742,3,258.0,5240644388,11629,2020
4094,34,-1463.0,5184093510,11533,2020
93612,48,-5665.0,5260807751,11700,2020
24511,41,2113.0,5203470283,11517,2020
76286,9,-3265.0,5244771209,11419,2020
25012,25,-7081.0,5203653366,11517,2020
73099,19,1462.0,5242099322,11661,2020
92690,24,7783.0,5260197836,11533,2020
74462,24,8190.0,5242829979,11439,2020
6580,3,-298.0,5186146292,10857,2020
11164,22,6197.0,5191099915,11490,2020
27491,37,-14117.0,5207266166,11592,2020
96033,41,-1682.0,5263348060,11533,2020
63870,32,591.0,5235946720,11661,2020
22372,16,-367.0,5201956799,11517,2020
89512,21,8252.0,5257248626,11668,2020
13613,10,79.0,5193870881,11155,2020
68266,12,-2893.0,5239092784,11661,2020
48418,13,-3063.0,5230301497,11249,2020
54494,14,-9248.0,5231728722,11629,2020
24480,10,-26.0,5203470283,11517,2020
68827,11,2767.0,5239286634,11661,2020
14070,38,-7375.0,5194132804,11478,2020
96881,26,5633.0,5263888070,11719,2020
25236,21,589.0,5203969417,11382,2020
64063,2,-106.0,5236035502,11661,2020
53255,4,61.0,5231484597,11629,2020
21041,39,-6968.0,5200335119,11600,2020
19867,9,-591.0,5199199624,10857,2020
32824,6,-1065.0,5214004153,10937,2020
78373,21,-7112.0,5247666086,11468,2020
65842,25,6752.0,5236772586,11661,2020
78162,3,-427.0,5247271256,11668,2020
15213,60,27874.0,5194853912,11490,2020
24272,1,0.0,5203392177,11620,2020
99251,21,-1249.0,5265973874,11694,2020
18263,10,1766.0,5197966000,11382,2020
15965,5,392.0,5195527082,11592,2020
35413,44,7796.0,5218368498,11620,2020
4510,23,-2374.0,5184322211,11533,2020
182,14,576.0,5178333151,11249,2020
53113,31,-4548.0,5231474807,11629,2020
37385,18,-1246.0,5220716016,11427,2020
13740,26,3922.0,5193936019,11249,2020
75017,3,1202.0,5243330224,11661,2020
22957,47,6981.0,5202230721,11620,2020
45765,17,-1155.0,5227272977,11249,2020
51056,15,7659.0,5231230613,11629,2020
40242,5,-1244.0,5223208765,11478,2020
64265,26,8003.0,5236129092,11661,2020
2107,2,-137.0,5181509110,11155,2020
98742,45,4490.0,5265309951,11688,2020
95704,31,-7434.0,5262837287,11694,2020
22625,21,7634.0,5202053263,11517,2020
9975,18,1540.0,5189825996,11155,2020
73117,37,8388.0,5242099322,11661,2020
68879,32,15846.0,5239290142,11629,2020
33740,21,-13576.0,5215439164,11620,2020
81255,11,-685.0,5250604020,10946,2020
13876,17,-3224.0,5194024476,11155,2020
61219,15,4515.0,5235039150,11661,2020
55202,14,-4976.0,5231805583,11629,2020
45769,21,-3150.0,5227272977,11249,2020
196275,23,11910.0,5355828419,11827,2020
122712,24,6804.0,5285986492,11741,2020
131942,31,-12290.0,5293705590,11448,2020
187283,19,500.0,5348093932,11370,2020
113342,4,563.0,5277345297,11382,2020
191812,25,1748.0,5352638019,11863,2020
184358,29,2796.0,5346129986,11263,2020
193377,9,1721.0,5353662692,11623,2020
199636,7,-1104.0,5359011809,11735,2020
181536,26,7538.0,5343590769,11461,2020
142728,19,3045.0,5306546058,11668,2020
171273,1,0.0,5335015451,11382,2020
154304,17,-13612.0,5317275371,11623,2020
191355,33,-114.0,5351682241,11623,2020
101249,5,1313.0,5267916458,11623,2020
158497,25,-8246.0,5321848684,11478,2020
122096,23,-12940.0,5285713894,11623,2020
132906,1,322.0,5294407365,11478,2020
147040,9,-2251.0,5309889290,11604,2020
191207,32,9685.0,5351444824,11823,2020
144077,5,59.0,5307569240,11773,2020
131048,3,102.0,5293155773,11448,2020
124191,10,814.0,5287140327,11741,2020
111968,38,-1937.0,5276757741,11604,2020
110443,24,9405.0,5275690835,11620,2020
141072,1,-437.0,5304586569,11591,2020
175565,41,-900.0,5337846591,11823,2020
130537,31,23275.0,5292591725,10884,2020
185719,17,-5178.0,5346758562,11829,2020
160710,27,4689.0,5324291742,11683,2020
122545,16,-7515.0,5285919751,10884,2020
112829,17,1669.0,5277122116,11263,2020
132106,12,2965.0,5293879745,11478,2020
140830,19,1374.0,5304397677,11668,2020
167926,30,-11444.0,5331249501,11717,2020
106602,28,4171.0,5272364171,11613,2020
100592,9,-487.0,5267379272,11382,2020
110415,40,-5352.0,5275685767,11657,2020
166996,28,4635.0,5330788482,11382,2020
125913,2,113.0,5288658151,11683,2020
185207,10,7290.0,5346640464,11829,2020
196808,15,-426.0,5356580459,11834,2020
141561,19,2065.0,5304873977,11249,2020
