no,time,type,key,slot,player_slot,match_id,leagueid,unit,data_year
182,2899.0,chat,gg,8.0,131.0,5179011085,11155,阿修罗,2020
53113,924.0,chatwheel,121001,6.0,129.0,5231418989,11629,,2020
37385,-53.0,chatwheel,70001,7.0,130.0,5223409988,11478,,2020
13740,2031.0,chatwheel,76,6.0,129.0,5199303117,11592,,2020
75017,75.0,chat,w8,4.0,4.0,5237983246,11661,CL QUAL PLAYER,2020
22957,-55.0,chatwheel,83001,5.0,128.0,5210494907,11517,,2020
45765,2187.0,chatwheel,164,6.0,129.0,5230137065,11604,,2020
51056,808.0,chatwheel,102003,3.0,3.0,5231291793,11629,,2020
40242,3.0,chat,oten,0.0,0.0,5224499148,11591,4 or WW3-,2020
64265,218.0,chatwheel,65004,4.0,4.0,5234842089,11661,,2020
2107,1128.0,chatwheel,61,8.0,131.0,5183994936,10884,,2020
98742,-88.0,chatwheel,126002,4.0,4.0,5258277898,10884,,2020
95704,-82.0,chatwheel,7002,0.0,0.0,5254337167,11419,,2020
22625,1487.0,chatwheel,168,9.0,132.0,5209450206,11517,,2020
9975,2138.0,chatwheel,7,5.0,128.0,5195037405,11249,,2020
73117,-73.0,chatwheel,94003,7.0,130.0,5236827555,11661,,2020
68879,2881.0,chatwheel,80,7.0,130.0,5235423393,10884,,2020
33740,2519.0,chatwheel,54,0.0,0.0,5221038451,11427,,2020
81255,1228.0,chatwheel,164,4.0,4.0,5241280054,11661,,2020
13876,2751.0,chatwheel,76,7.0,130.0,5199380246,11592,,2020
61219,11.0,chat,SRY,6.0,129.0,5233947613,11661,Nivram Nothsur,2020
55202,322.0,chatwheel,58,8.0,131.0,5231685451,11629,,2020
45769,-60.0,chat,gaaaaaaaaaaaaaaaaa,5.0,128.0,5230154289,11419,Gambito leitão,2020
196275,1461.0,chatwheel,64,0.0,0.0,5353251610,11735,,2020
122712,-85.0,chatwheel,106006,7.0,130.0,5280196429,10884,,2020
131942,297.0,chatwheel,3002,5.0,128.0,5287023605,11741,,2020
187283,1370.0,chatwheel,9,6.0,129.0,5345988528,11834,,2020
113342,2035.0,chatwheel,7,6.0,129.0,5273139699,11683,,2020
191812,1229.0,chatwheel,96005,9.0,132.0,5348841758,11735,,2020
184358,1835.0,chat,gg,9.0,132.0,5341559192,11099,DODO,2020
193377,-54.0,chat,gl ,7.0,130.0,5350617246,11823,Kitty,2020
199636,-67.0,chat,<3,6.0,129.0,5355273828,11623,Splitpussy,2020
181536,1276.0,chatwheel,71,9.0,132.0,5337659302,11461,,2020
142728,-663.0,chat,its not like we are talking about pick,1.0,1.0,5294389626,10884,MALA OVA PRICA IZ MENE,2020
171273,1986.0,chatwheel,76002,8.0,131.0,5329184972,11823,,2020
154304,-57.0,chatwheel,62,8.0,131.0,5309476078,11439,,2020
191355,1061.0,chatwheel,0,6.0,129.0,5348372732,11863,,2020
101249,-89.0,chat,g,3.0,3.0,5262077818,11613,FSociety,2020
158497,2154.0,chatwheel,71,6.0,129.0,5312438527,11806,,2020
122096,500.0,chatwheel,69,4.0,4.0,5279779165,11700,,2020
132906,-38.0,chatwheel,7,6.0,129.0,5287276431,11683,,2020
147040,1548.0,chatwheel,70,1.0,1.0,5302077244,11736,,2020
191207,-66.0,chatwheel,72002,6.0,129.0,5348239395,11834,,2020
144077,2096.0,chat,G,4.0,4.0,5296883180,11668,busad.,2020
131048,2274.0,chatwheel,95004,9.0,132.0,5286139633,11620,,2020
124191,598.0,chatwheel,31003,9.0,132.0,5281519476,11478,,2020
111968,-75.0,chatwheel,86003,9.0,132.0,5271556315,11700,,2020
110443,222.0,chat,g,5.0,128.0,5270315618,10884,Veronica,2020
141072,142.0,chat,kk,5.0,128.0,5293879745,11478,Строительство и �,2020
175565,470.0,chatwheel,71,5.0,128.0,5333913268,11829,,2020
130537,308.0,chatwheel,7,3.0,3.0,5285953284,10884,,2020
185719,2795.0,chat,GG,4.0,4.0,5343692703,11806,9,2020
160710,6.0,chat,G?,0.0,0.0,5315916117,11604,Valqui,2020
122545,388.0,chatwheel,12003,5.0,128.0,5280104463,10884,,2020
112829,462.0,chatwheel,68004,8.0,131.0,5272661750,11700,,2020
132106,9.0,chatwheel,63,2.0,2.0,5287074806,11736,,2020
140830,-89.0,chatwheel,45005,3.0,3.0,5293580986,11731,,2020
167926,-879.0,chatwheel,86,8.0,131.0,5323782357,11683,,2020
106602,1063.0,chatwheel,132,1.0,1.0,5268038033,11716,,2020
100592,1677.0,chatwheel,11001,7.0,130.0,5261255576,11478,,2020
110415,-74.0,chat,y tu,0.0,0.0,5270315618,10884,HAHA HAHAHAHAHA,2020
166996,982.0,chatwheel,13003,0.0,0.0,5322514622,10884,,2020
125913,307.0,chatwheel,71,0.0,0.0,5282629148,11620,,2020
185207,2151.0,chatwheel,109001,6.0,129.0,5342679232,11823,,2020
196808,566.0,chatwheel,7,7.0,130.0,5353863061,11735,,2020
141561,1464.0,chat,"cgfcb,j pf buhe",0.0,0.0,5294004146,11478,NLF.abuzer.zxc,2020
130532,145.0,chatwheel,107004,6.0,129.0,5285953284,10884,,2020
174902,-79.0,chat,rdy,5.0,128.0,5333883332,11800,twin peaks,2020
199060,572.0,chatwheel,87,8.0,131.0,5355052749,11828,,2020
167290,-44.0,chat,..,4.0,4.0,5322937515,11099,grind69,2020
136354,1414.0,chatwheel,7,7.0,130.0,5290107317,11736,,2020
132751,1644.0,chatwheel,5002,2.0,2.0,5287219496,11719,,2020
115927,1645.0,chatwheel,71,2.0,2.0,5275493805,11620,,2020
140839,-89.0,chatwheel,231,3.0,3.0,5293580986,11731,,2020
126413,-78.0,chat,hf,7.0,130.0,5283193476,11717,ROPZICLE,2020
128215,453.0,chatwheel,43004,2.0,2.0,5284734757,11717,,2020
108354,-870.0,chat,за такие слова у тебя луз до крипов,5.0,128.0,5269422384,11478,kkkkkk.,2020
156603,1713.0,chat,GG,6.0,129.0,5310716590,11668,YADA,2020
175686,-68.0,chat,gl hf,9.0,132.0,5333914101,11829,Piggie,2020
154614,-79.0,chat,gl,1.0,1.0,5309671246,11439,Shirt,2020
120321,1763.0,chatwheel,0,7.0,130.0,5278109704,11694,,2020
178323,358.0,chatwheel,53004,7.0,130.0,5335563278,11823,,2020
199860,1756.0,chatwheel,7005,3.0,3.0,5355502787,11623,,2020
115014,516.0,chatwheel,62,3.0,3.0,5274710986,11719,,2020
178404,-82.0,chat,GL,4.0,4.0,5335701853,11823,9,2020
103328,2494.0,chatwheel,98003,7.0,130.0,5264476122,11683,,2020
112606,2285.0,chatwheel,7,0.0,0.0,5272364171,11613,,2020
199982,1620.0,chat,ggwp!,5.0,128.0,5355562494,11827,Cridoz,2020
164874,-86.0,chatwheel,231,3.0,3.0,5320085586,11604,,2020
164961,2144.0,chatwheel,7,8.0,131.0,5320085586,11604,,2020
181419,1873.0,chatwheel,62,0.0,0.0,5337450401,11461,,2020
108146,2863.0,chat,gg,5.0,128.0,5269332530,11478,вне конкуренции,2020
191711,315.0,chatwheel,12006,7.0,130.0,5348841758,11735,,2020
