no,time,type,slot,key,player_slot,value,killer,team,unit,match_id,leagueid,data_year
148392,1896.0,building_kill,,npc_dota_badguys_fort,,,,,dota_unknown,6045765894,13131,2021
91404,2265.0,building_kill,2.0,npc_dota_badguys_tower2_bot,2.0,,,,npc_dota_hero_ursa,5940594883,12805,2021
57371,1433.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,5858176523,12692,2021
66975,2929.0,building_kill,9.0,npc_dota_goodguys_tower3_mid,132.0,,,,npc_dota_hero_mars,5877860200,12880,2021
141497,261.0,CHAT_MESSAGE_FIRSTBLOOD,4.0,7,4.0,,,,,6025737869,13237,2021
143113,2418.0,CHAT_MESSAGE_COURIER_LOST,,,,,,7.0,,6029399411,12964,2021
70248,890.0,building_kill,,npc_dota_badguys_fort,,,,,dota_unknown,5885437268,11863,2021
99587,929.0,building_kill,7.0,npc_dota_goodguys_tower1_bot,130.0,,,,npc_dota_hero_juggernaut,5954487981,13115,2021
141882,834.0,building_kill,,npc_dota_goodguys_tower1_mid,,,,,npc_dota_creep_badguys_melee,6026660506,12964,2021
54166,1036.0,building_kill,,npc_dota_goodguys_tower1_mid,,,,,npc_dota_badguys_siege,5853231194,12692,2021
75376,2020.0,building_kill,3.0,npc_dota_badguys_tower3_top,3.0,,,,npc_dota_hero_earth_spirit,5895868559,12917,2021
116657,1038.0,building_kill,,npc_dota_badguys_tower1_bot,,,,,npc_dota_creep_goodguys_ranged,5982649493,12780,2021
134946,1094.0,CHAT_MESSAGE_AEGIS,9.0,,132.0,,,,,6011727100,13173,2021
52576,744.0,building_kill,5.0,npc_dota_badguys_tower1_top,128.0,,,,npc_dota_hero_brewmaster,5850242291,12780,2021
76746,1298.0,CHAT_MESSAGE_AEGIS,5.0,,128.0,,,,,5900199468,12093,2021
82339,585.0,building_kill,7.0,npc_dota_goodguys_tower1_bot,130.0,,,,npc_dota_hero_shadow_shaman,5917193218,12906,2021
76734,2019.0,building_kill,0.0,npc_dota_badguys_tower2_top,0.0,,,,npc_dota_hero_naga_siren,5900140340,12093,2021
94666,2173.0,CHAT_MESSAGE_AEGIS,7.0,,130.0,,,,,5945710171,13109,2021
117613,1916.0,CHAT_MESSAGE_COURIER_LOST,,,,,,2.0,,5984012620,13107,2021
69168,1976.0,building_kill,7.0,npc_dota_goodguys_range_rax_mid,130.0,,,,npc_dota_hero_lycan,5881824336,12880,2021
88020,2186.0,building_kill,8.0,npc_dota_goodguys_melee_rax_bot,131.0,,,,npc_dota_hero_phantom_assassin,5932225433,13043,2021
115225,2147.0,building_kill,3.0,npc_dota_badguys_tower2_mid,3.0,,,,npc_dota_hero_broodmother,5980353381,13150,2021
108346,410.0,CHAT_MESSAGE_COURIER_LOST,,,,,,5.0,,5965532499,12929,2021
72662,1328.0,building_kill,,npc_dota_goodguys_tower2_mid,,,,,npc_dota_creep_badguys_ranged,5890225129,12917,2021
71094,1232.0,CHAT_MESSAGE_COURIER_LOST,,,,,,3.0,,5887695933,11863,2021
70976,1924.0,building_kill,1.0,npc_dota_badguys_tower2_top,1.0,,,,npc_dota_hero_monkey_king,5886997519,12093,2021
121263,846.0,building_kill,5.0,npc_dota_goodguys_tower1_bot,128.0,,,,npc_dota_hero_medusa,5990285340,13160,2021
52874,1204.0,building_kill,9.0,npc_dota_goodguys_tower4,132.0,,,,npc_dota_hero_broodmother,5850787539,12214,2021
121827,664.0,building_kill,1.0,npc_dota_badguys_tower1_mid,1.0,,,,npc_dota_hero_queenofpain,5990550442,12780,2021
123099,2452.0,building_kill,2.0,npc_dota_badguys_melee_rax_mid,2.0,,,,npc_dota_hero_skeleton_king,5992236452,13117,2021
84039,616.0,CHAT_MESSAGE_COURIER_LOST,,,,,,5.0,,5921820236,13043,2021
79588,2743.0,building_kill,5.0,npc_dota_goodguys_range_rax_top,128.0,,,,npc_dota_hero_skeleton_king,5910938862,12906,2021
145364,2938.0,building_kill,,npc_dota_goodguys_range_rax_bot,,,,,npc_dota_creep_badguys_melee,6037235150,12873,2021
109406,2168.0,building_kill,8.0,npc_dota_goodguys_melee_rax_mid,131.0,,,,npc_dota_hero_medusa,5968535535,13108,2021
143269,960.0,building_kill,,npc_dota_goodguys_tower1_mid,,,,,npc_dota_creep_badguys_melee,6029877246,12964,2021
135324,692.0,building_kill,,npc_dota_goodguys_tower1_bot,,,,,npc_dota_badguys_siege,6012336432,13228,2021
102241,1228.0,building_kill,3.0,npc_dota_badguys_range_rax_mid,3.0,,,,npc_dota_hero_juggernaut,5958121455,13109,2021
137668,1386.0,building_kill,,npc_dota_goodguys_tower1_top,,,,,npc_dota_badguys_siege,6016414513,13237,2021
91979,1599.0,building_kill,5.0,npc_dota_goodguys_tower2_mid,128.0,,,,npc_dota_hero_gyrocopter,5941839115,13069,2021
60130,982.0,building_kill,,npc_dota_badguys_tower1_top,,,,,npc_dota_creep_goodguys_melee,5862795903,12214,2021
95445,2182.0,building_kill,,npc_dota_goodguys_melee_rax_bot,,,,,npc_dota_creep_badguys_melee,5946631635,13108,2021
57925,699.0,building_kill,7.0,npc_dota_goodguys_tower1_mid,130.0,,,,npc_dota_hero_shadow_shaman,5859153936,12908,2021
140742,1321.0,CHAT_MESSAGE_COURIER_LOST,,,,,,8.0,,6023828679,12964,2021
94251,1382.0,CHAT_MESSAGE_AEGIS,7.0,,130.0,,,,,5945157253,12938,2021
114344,311.0,CHAT_MESSAGE_FIRSTBLOOD,8.0,3,131.0,,,,,5978296577,13112,2021
65432,2048.0,building_kill,2.0,npc_dota_badguys_melee_rax_mid,2.0,,,,npc_dota_hero_terrorblade,5874628443,12832,2021
119575,-6.0,CHAT_MESSAGE_FIRSTBLOOD,9.0,0,132.0,,,,,5987377101,12929,2021
151028,932.0,building_kill,6.0,npc_dota_goodguys_tower1_mid,129.0,,,,npc_dota_hero_dragon_knight,6052768041,13300,2021
70294,1430.0,building_kill,2.0,npc_dota_badguys_tower2_bot,2.0,,,,npc_dota_hero_dragon_knight,5885588746,11863,2021
62052,1564.0,building_kill,7.0,npc_dota_goodguys_tower3_bot,130.0,,,,npc_dota_hero_troll_warlord,5866341614,12881,2021
120553,2492.0,building_kill,,npc_dota_badguys_tower2_bot,,,,,npc_dota_goodguys_siege,5989044969,13112,2021
65236,147.0,CHAT_MESSAGE_FIRSTBLOOD,5.0,3,128.0,,,,,5874408523,12858,2021
96558,1908.0,building_kill,1.0,npc_dota_badguys_range_rax_top,1.0,,,,npc_dota_hero_morphling,5947966333,13059,2021
142269,1857.0,building_kill,9.0,npc_dota_goodguys_tower3_mid,132.0,,,,npc_dota_hero_morphling,6027502132,13194,2021
128836,1418.0,CHAT_MESSAGE_COURIER_LOST,,,,,,7.0,,6001193546,13108,2021
136059,1864.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,6013590248,13043,2021
85391,205.0,CHAT_MESSAGE_COURIER_LOST,,,,,,-1.0,,5926112645,13028,2021
108550,1101.0,building_kill,8.0,npc_dota_goodguys_tower1_mid,131.0,,,,npc_dota_hero_slardar,5966348078,13115,2021
68580,407.0,building_kill,6.0,npc_dota_goodguys_tower1_mid,129.0,,,,npc_dota_hero_death_prophet,5880241187,12692,2021
127004,1920.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,5998472386,13148,2021
70137,1085.0,CHAT_MESSAGE_COURIER_LOST,,,,,,1.0,,5884391001,12723,2021
113977,1481.0,building_kill,1.0,npc_dota_badguys_tower2_mid,1.0,,,,npc_dota_hero_tiny,5976750561,13117,2021
127154,1187.0,CHAT_MESSAGE_COURIER_LOST,,,,,,3.0,,5998921031,13150,2021
124073,997.0,building_kill,0.0,npc_dota_badguys_tower1_top,0.0,,,,npc_dota_hero_faceless_void,5993554403,13160,2021
144717,2199.0,building_kill,0.0,npc_dota_badguys_tower4,0.0,,,,npc_dota_hero_dragon_knight,6035852284,13228,2021
137976,1140.0,CHAT_MESSAGE_COURIER_LOST,,,,,,4.0,,6016604877,13237,2021
123098,2386.0,building_kill,2.0,npc_dota_badguys_range_rax_mid,2.0,,,,npc_dota_hero_skeleton_king,5992236452,13117,2021
56450,2341.0,building_kill,8.0,npc_dota_goodguys_melee_rax_mid,131.0,,,,npc_dota_hero_lycan,5856538196,12780,2021
145968,1201.0,building_kill,1.0,npc_dota_badguys_tower1_bot,1.0,,,,npc_dota_hero_phantom_assassin,6038176153,13268,2021
76867,3875.0,building_kill,2.0,npc_dota_badguys_tower4,2.0,,,,npc_dota_hero_venomancer,5900911025,11863,2021
128642,1719.0,building_kill,2.0,npc_dota_badguys_tower3_bot,2.0,,,,npc_dota_hero_invoker,6001031780,12780,2021
77368,2414.0,building_kill,,npc_dota_badguys_tower3_mid,,,,,npc_dota_creep_goodguys_melee,5901597403,12846,2021
125455,347.0,CHAT_MESSAGE_COURIER_LOST,,,,,,0.0,,5996333883,13173,2021
145046,467.0,CHAT_MESSAGE_COURIER_LOST,,,,,,0.0,,6036458254,13194,2021
126818,473.0,building_kill,7.0,npc_dota_goodguys_tower1_bot,130.0,,,,npc_dota_hero_centaur,5998373046,12929,2021
58936,1116.0,building_kill,4.0,npc_dota_badguys_tower2_top,4.0,,,,npc_dota_hero_bloodseeker,5861105157,12908,2021
63520,264.0,CHAT_MESSAGE_FIRSTBLOOD,0.0,6,0.0,,,,,5869448576,11863,2021
