no,minute,exp,match_id,leagueid,data_year
90913,19,-1760.0,5258527975,11688,2020
82968,5,19.0,5251595690,11688,2020
49885,30,-15426.0,5230827295,11629,2020
85312,29,7591.0,5253172885,11688,2020
39623,18,431.0,5222800029,11591,2020
7774,26,287.0,5187265294,11370,2020
43089,10,-1549.0,5224985322,11636,2020
5569,23,-3636.0,5185591665,11249,2020
88386,5,20.0,5256223039,11604,2020
41895,9,-280.0,5224095008,11155,2020
61988,11,-1661.0,5235153803,11661,2020
13076,1,0.0,5193195132,11490,2020
67219,12,1619.0,5237902257,11661,2020
98672,17,3343.0,5265301331,11099,2020
17938,17,1762.0,5197633889,11263,2020
9696,22,1033.0,5189678823,11533,2020
68197,7,-404.0,5238975147,11661,2020
12880,6,-169.0,5192871847,11490,2020
44202,27,5584.0,5225941178,11591,2020
89913,4,216.0,5257662905,11478,2020
76480,52,-44627.0,5245367720,11661,2020
83703,2,-123.0,5251978373,11716,2020
33035,25,3144.0,5214550093,11263,2020
56194,9,-707.0,5232281273,11629,2020
16224,26,-1139.0,5195740614,11600,2020
74648,6,889.0,5243046271,11661,2020
17781,20,7603.0,5197470877,11263,2020
61621,10,-2003.0,5235088829,11661,2020
74798,11,2287.0,5243125282,11661,2020
71717,11,6079.0,5241187069,11439,2020
92361,19,2633.0,5260070702,11620,2020
85620,30,8830.0,5253343696,11668,2020
70742,3,201.0,5240644388,11629,2020
4094,34,-11892.0,5184093510,11533,2020
93612,48,-26929.0,5260807751,11700,2020
24511,41,3008.0,5203470283,11517,2020
76286,9,-2406.0,5244771209,11419,2020
25012,25,-11756.0,5203653366,11517,2020
73099,19,1979.0,5242099322,11661,2020
92690,24,9129.0,5260197836,11533,2020
74462,24,7575.0,5242829979,11439,2020
6580,3,-285.0,5186146292,10857,2020
11164,22,878.0,5191099915,11490,2020
27491,37,-26482.0,5207266166,11592,2020
96033,41,-13469.0,5263348060,11533,2020
63870,32,-2025.0,5235946720,11661,2020
22372,16,-976.0,5201956799,11517,2020
89512,21,14613.0,5257248626,11668,2020
13613,10,-668.0,5193870881,11155,2020
68266,12,-2903.0,5239092784,11661,2020
48418,13,169.0,5230301497,11249,2020
54494,14,-6026.0,5231728722,11629,2020
24480,10,1124.0,5203470283,11517,2020
68827,11,1281.0,5239286634,11661,2020
14070,38,-13250.0,5194132804,11478,2020
96881,26,2786.0,5263888070,11719,2020
25236,21,-1377.0,5203969417,11382,2020
64063,2,-9.0,5236035502,11661,2020
53255,4,255.0,5231484597,11629,2020
21041,39,-27001.0,5200335119,11600,2020
19867,9,-383.0,5199199624,10857,2020
32824,6,-632.0,5214004153,10937,2020
78373,21,-12132.0,5247666086,11468,2020
65842,25,8824.0,5236772586,11661,2020
78162,3,-326.0,5247271256,11668,2020
15213,60,7647.0,5194853912,11490,2020
24272,1,0.0,5203392177,11620,2020
99251,21,-2019.0,5265973874,11694,2020
18263,10,591.0,5197966000,11382,2020
15965,5,272.0,5195527082,11592,2020
35413,44,-14154.0,5218368498,11620,2020
4510,23,-8428.0,5184322211,11533,2020
182,14,880.0,5178333151,11249,2020
53113,31,-5237.0,5231474807,11629,2020
37385,18,-2813.0,5220716016,11427,2020
13740,26,3792.0,5193936019,11249,2020
75017,3,-210.0,5243330224,11661,2020
22957,47,1663.0,5202230721,11620,2020
45765,17,2072.0,5227272977,11249,2020
51056,15,5139.0,5231230613,11629,2020
40242,5,-531.0,5223208765,11478,2020
64265,26,11377.0,5236129092,11661,2020
2107,2,-141.0,5181509110,11155,2020
98742,45,2208.0,5265309951,11688,2020
95704,31,-8993.0,5262837287,11694,2020
22625,21,10969.0,5202053263,11517,2020
9975,18,2985.0,5189825996,11155,2020
73117,37,8994.0,5242099322,11661,2020
68879,32,16290.0,5239290142,11629,2020
33740,21,-12871.0,5215439164,11620,2020
81255,11,-66.0,5250604020,10946,2020
13876,17,1566.0,5194024476,11155,2020
61219,15,2190.0,5235039150,11661,2020
55202,14,-5354.0,5231805583,11629,2020
45769,21,-3384.0,5227272977,11249,2020
196275,23,12614.0,5355828419,11827,2020
122712,24,9884.0,5285986492,11741,2020
131942,31,-17778.0,5293705590,11448,2020
187283,19,0.0,5348093932,11370,2020
113342,4,149.0,5277345297,11382,2020
191812,25,-4358.0,5352638019,11863,2020
184358,29,-13.0,5346129986,11263,2020
193377,9,829.0,5353662692,11623,2020
199636,7,-1382.0,5359011809,11735,2020
181536,26,10613.0,5343590769,11461,2020
142728,19,1160.0,5306546058,11668,2020
171273,1,0.0,5335015451,11382,2020
154304,17,-11782.0,5317275371,11623,2020
191355,33,-10953.0,5351682241,11623,2020
101249,5,828.0,5267916458,11623,2020
158497,25,-7083.0,5321848684,11478,2020
122096,23,-19120.0,5285713894,11623,2020
132906,1,39.0,5294407365,11478,2020
147040,9,-1429.0,5309889290,11604,2020
191207,32,11662.0,5351444824,11823,2020
144077,5,539.0,5307569240,11773,2020
131048,3,-89.0,5293155773,11448,2020
124191,10,838.0,5287140327,11741,2020
111968,38,1962.0,5276757741,11604,2020
110443,24,0.0,5275690835,11620,2020
141072,1,-89.0,5304586569,11591,2020
175565,41,2128.0,5337846591,11823,2020
130537,31,28848.0,5292591725,10884,2020
185719,17,-4446.0,5346758562,11829,2020
160710,27,3394.0,5324291742,11683,2020
122545,16,-6442.0,5285919751,10884,2020
112829,17,2599.0,5277122116,11263,2020
132106,12,3070.0,5293879745,11478,2020
140830,19,474.0,5304397677,11668,2020
167926,30,-11604.0,5331249501,11717,2020
106602,28,10241.0,5272364171,11613,2020
100592,9,897.0,5267379272,11382,2020
110415,40,-4217.0,5275685767,11657,2020
166996,28,-116.0,5330788482,11382,2020
125913,2,272.0,5288658151,11683,2020
185207,10,5134.0,5346640464,11829,2020
196808,15,-310.0,5356580459,11834,2020
141561,19,3042.0,5304873977,11249,2020
130532,26,25210.0,5292591725,10884,2020
174902,26,-2615.0,5337461904,11461,2020
199060,26,-10203.0,5358718010,11249,2020
167290,5,-137.0,5330956510,11807,2020
136354,33,-3756.0,5298733739,11668,2020
132751,22,-5381.0,5294291754,11736,2020
115927,2,-50.0,5280054318,10884,2020
140839,28,4348.0,5304397677,11668,2020
126413,24,-7074.0,5289083965,11741,2020
128215,3,121.0,5290444785,11741,2020
108354,18,1741.0,5274016248,11263,2020
156603,34,955.0,5319761016,10884,2020
175686,6,160.0,5337933537,11806,2020
154614,18,-2445.0,5317786952,10884,2020
120321,5,754.0,5284461119,11263,2020
178323,28,3042.0,5340057655,11807,2020
199860,14,-399.0,5359123149,11668,2020
115014,19,-1427.0,5279144621,11382,2020
178404,29,18923.0,5340078426,11263,2020
103328,12,2865.0,5269449406,11382,2020
112606,5,-678.0,5277042479,11533,2020
199982,1,0.0,5359231642,11928,2020
164874,15,-2628.0,5328855417,11382,2020
164961,29,3033.0,5328873000,11807,2020
181419,14,450.0,5343535332,11382,2020
108146,40,-4809.0,5273863037,11263,2020
191711,21,-4871.0,5352533744,11382,2020
123986,10,-1000.0,5286974327,11719,2020
155337,5,-333.0,5318627339,11806,2020
190328,44,21491.0,5350717555,11806,2020
189887,15,-1338.0,5350534946,11863,2020
107790,19,2058.0,5273408205,11719,2020
177869,16,-397.0,5339905231,11807,2020
139729,17,4525.0,5302653893,11591,2020
154795,29,-5627.0,5317924689,11604,2020
169724,17,-3387.0,5333913614,11829,2020
152403,24,-12891.0,5314969523,11694,2020
161875,20,-3990.0,5325668658,11823,2020
194012,18,15592.0,5354464581,11834,2020
109568,11,-1320.0,5275357782,11620,2020
196370,11,361.0,5355931343,11877,2020
123371,3,176.0,5286449598,11382,2020
150302,16,5242.0,5312719695,11806,2020
100884,1,0.0,5267649446,11694,2020
122049,9,-103.0,5285690950,11741,2020
118312,14,-3221.0,5282576545,10884,2020
199448,26,14504.0,5358928970,11834,2020
152692,26,-2130.0,5315654479,11683,2020
195115,6,-470.0,5355008280,11099,2020
177210,10,-506.0,5339650272,11834,2020
182086,31,-10089.0,5343866712,11263,2020
102562,22,-224.0,5268853814,11533,2020
192786,10,929.0,5353054308,11823,2020
147720,5,-472.0,5310535877,11806,2020
190575,5,111.0,5350955410,11370,2020
163803,38,-7191.0,5327491576,11800,2020
151926,19,-1448.0,5314594127,11591,2020
112809,29,-11875.0,5277098266,10884,2020
109970,33,-6530.0,5275533357,11263,2020
195947,23,19456.0,5355562494,11827,2020
155260,15,-479.0,5318478445,11382,2020
134733,19,-2569.0,5296911710,10884,2020
124079,34,-27666.0,5287034269,11741,2020
136164,30,-7792.0,5297943950,11736,2020
140483,11,635.0,5303420814,11736,2020
143515,12,-1211.0,5307040222,11249,2020
169265,31,18543.0,5333564102,11717,2020
170103,16,5199.0,5333955186,11823,2020
149650,50,-1710.0,5312333934,10884,2020
145579,19,1127.0,5308735186,11806,2020
169293,3,794.0,5333757576,11800,2020
115020,25,3238.0,5279144621,11382,2020
177510,3,-100.0,5339787694,11263,2020
131024,11,-629.0,5293142596,10884,2020
196099,23,-11641.0,5355680319,11827,2020
177868,15,288.0,5339905231,11807,2020
149872,10,-28.0,5312463203,11668,2020
146993,22,7740.0,5309768897,11439,2020
162571,51,24287.0,5326872901,11823,2020
119752,22,13408.0,5283802592,11719,2020
197117,15,-6469.0,5356806965,11099,2020
199776,32,-24549.0,5359039548,11828,2020
189423,5,-230.0,5350245231,11461,2020
154677,2,69.0,5317800374,11604,2020
155986,6,-208.0,5319173021,10884,2020
130814,12,2618.0,5293033215,10884,2020
141744,21,-7024.0,5305106165,11249,2020
173293,19,8134.0,5336244800,11829,2020
179096,7,-1104.0,5341296035,11382,2020
160959,2,188.0,5324964403,11806,2020
193214,25,746.0,5353251610,11735,2020
198051,6,339.0,5357322995,11263,2020
195184,28,10560.0,5355019933,11263,2020
100741,25,7483.0,5267411413,11623,2020
154861,6,-320.0,5317991437,11604,2020
126162,32,4519.0,5288811269,11736,2020
149742,6,1097.0,5312438527,11806,2020
194848,47,-14172.0,5354862800,11863,2020
148246,22,-6888.0,5310823816,11448,2020
178159,11,-1354.0,5340007769,11263,2020
129585,2,-86.0,5291579074,11249,2020
194568,4,-316.0,5354770091,11382,2020
142896,38,7465.0,5306595300,10884,2020
166519,19,5287.0,5330001237,11823,2020
163531,26,12427.0,5327295768,11823,2020
157371,3,228.0,5320982536,11823,2020
146570,9,-426.0,5309425700,11694,2020
114636,24,-5254.0,5278812377,11263,2020
120569,39,-5889.0,5284590031,11717,2020
142366,15,-310.0,5305849844,10884,2020
166718,30,-12839.0,5330375241,11823,2020
100699,34,7462.0,5267401643,10884,2020
198190,37,-8077.0,5357468397,11836,2020
160008,12,-1658.0,5323324508,11806,2020
133591,1,0.0,5295242366,11591,2020
154319,11,-772.0,5317334514,11249,2020
186374,16,-3894.0,5347061684,11827,2020
154026,9,876.0,5316845392,11249,2020
109289,4,678.0,5274998033,11694,2020
177439,23,-1762.0,5339744787,11834,2020
141663,20,2145.0,5304933213,11249,2020
115619,14,-7443.0,5279690749,11700,2020
178011,29,6202.0,5339939228,11834,2020
159908,13,-1486.0,5323228622,11263,2020
124686,23,-250.0,5287299610,11741,2020
161369,24,-8622.0,5325217066,11263,2020
180601,21,-2729.0,5342150724,11735,2020
174573,13,3714.0,5336990725,11829,2020
196036,28,-4027.0,5355674634,11623,2020
139048,16,349.0,5301778514,11773,2020
105015,38,-4976.0,5270647431,11533,2020
114619,7,-423.0,5278812377,11263,2020
189141,24,2615.0,5349894718,11863,2020
190757,6,439.0,5350989014,11478,2020
117892,3,-515.0,5281928086,11478,2020
147231,28,-207.0,5310053353,11694,2020
189526,24,10432.0,5350303820,11382,2020
101810,13,847.0,5268365376,10884,2020
123020,33,-11866.0,5286128412,11263,2020
164301,30,1756.0,5328053787,11823,2020
182590,22,7820.0,5344083325,11370,2020
100220,6,1015.0,5267028674,11382,2020
124390,17,786.0,5287199969,11683,2020
129983,36,-41940.0,5292043979,10884,2020
124378,5,421.0,5287199969,11683,2020
142310,10,1182.0,5305821531,10884,2020
165257,8,-1326.0,5328996176,11823,2020
116812,29,-4469.0,5280974602,11620,2020
135664,18,4672.0,5297462705,11591,2020
162869,18,-5109.0,5326991410,11382,2020
155990,10,-533.0,5319173021,10884,2020
120306,29,-8416.0,5284460432,10884,2020
118738,51,13029.0,5282727398,11620,2020
118620,15,-3822.0,5282700010,11263,2020
168907,28,-8683.0,5332488968,11823,2020
100518,23,-1934.0,5267264062,11382,2020
169471,20,-9022.0,5333908745,11829,2020
170743,7,1490.0,5334198496,11829,2020
131683,9,-359.0,5293537976,11249,2020
127232,2,65.0,5289490068,11668,2020
193008,23,3355.0,5353117897,11099,2020
157050,13,3331.0,5320633500,11370,2020
190913,21,-3226.0,5351122681,11823,2020
182968,17,6323.0,5344726478,11735,2020
149885,23,-1319.0,5312463203,11668,2020
185312,5,-2018.0,5346642216,11829,2020
139623,12,-3248.0,5302590909,11591,2020
107774,3,283.0,5273408205,11719,2020
143089,7,165.0,5306712902,11668,2020
105569,14,3972.0,5271215626,11719,2020
188386,16,4063.0,5348878328,11800,2020
141895,6,607.0,5305242584,10884,2020
161988,7,-712.0,5326033555,11823,2020
113076,19,-2003.0,5277226212,11657,2020
167219,8,2116.0,5330909384,11382,2020
198672,44,-28626.0,5358385157,11863,2020
117938,31,90.0,5281968179,11657,2020
109696,49,5950.0,5275402073,11263,2020
168197,17,-7404.0,5331496009,11823,2020
112880,44,2501.0,5277144387,11620,2020
144202,41,-7785.0,5307670528,11439,2020
189913,9,-579.0,5350536046,11461,2020
176480,16,1933.0,5339331500,11382,2020
183703,12,1710.0,5345775564,11382,2020
133035,14,-3178.0,5294488705,10884,2020
156194,6,1021.0,5319301386,10884,2020
116224,44,-39053.0,5280447991,10884,2020
174648,10,376.0,5337305588,11382,2020
117781,29,16258.0,5281733064,11694,2020
161621,30,3703.0,5325376616,11806,2020
174798,24,252.0,5337414410,11382,2020
171717,24,-28560.0,5335314927,11807,2020
192361,18,-6357.0,5352842484,11263,2020
185620,9,515.0,5346687416,11829,2020
170742,6,1636.0,5334198496,11829,2020
104094,7,1278.0,5270027595,11694,2020
193612,42,11230.0,5353861756,11623,2020
124511,28,9173.0,5287219496,11719,2020
176286,4,-120.0,5338796108,11823,2020
125012,22,-2242.0,5287590412,11741,2020
173099,16,3227.0,5336238774,11829,2020
192690,12,-268.0,5352996002,11099,2020
174462,5,133.0,5336859376,11829,2020
106580,6,35.0,5272364171,11613,2020
111164,32,15001.0,5276033364,11382,2020
127491,24,-4631.0,5289627807,11448,2020
196033,25,1195.0,5355674634,11623,2020
163870,11,-724.0,5327562787,11823,2020
122372,28,-2791.0,5285878699,11604,2020
189512,10,2577.0,5350303820,11382,2020
113613,24,3925.0,5277544449,11700,2020
168266,7,-854.0,5331557842,11263,2020
148418,24,-3567.0,5310892116,11806,2020
154494,13,-603.0,5317635829,11604,2020
124480,30,-6362.0,5287215270,11741,2020
168827,25,4007.0,5332298011,11800,2020
114070,4,259.0,5278034012,11657,2020
196881,21,-10660.0,5356648492,11834,2020
125236,5,221.0,5287864643,11263,2020
164063,37,-2540.0,5327774687,11800,2020
