no,match_id,leagueid,key,value,data_year
162571,5309768897,11439,12190,0,2020
119752,5273091603,11694,4912,131,2020
197117,5336232326,11823,4657,130,2020
199776,5336859376,11829,647,129,2020
189423,5331249501,11717,13713,4,2020
154677,5302854475,11249,4898,0,2020
155986,5304812790,11591,12695,128,2020
130814,5281604313,11478,7779,128,2020
141744,5289390508,11448,6020,1,2020
173293,5318896795,10592,7706,3,2020
179096,5323365593,11823,6694,129,2020
160959,5308702176,11591,11993,3,2020
193214,5333993939,11829,12337,1,2020
198051,5336261527,11829,8939,0,2020
195184,5335070340,11823,9788,2,2020
100741,5257122336,11620,8261,129,2020
154861,5303061332,11773,10133,130,2020
126162,5277519110,11657,7154,4,2020
149742,5296862488,10884,9162,2,2020
194848,5334428840,11823,8001,4,2020
148246,5294447488,11719,8851,130,2020
178159,5322851645,11099,11384,4,2020
129585,5280631257,11620,7026,132,2020
194568,5334251791,11829,11642,132,2020
142896,5290444785,11741,6820,3,2020
166519,5312581859,11668,602,128,2020
163531,5310530670,11806,12308,129,2020
157371,5306054519,10884,8130,2,2020
146570,5293391019,11591,7162,129,2020
114636,5268553780,11263,13064,3,2020
120569,5273458579,11694,11461,1,2020
142366,5290105232,11623,13381,130,2020
166718,5312714040,11806,9656,0,2020
100699,5257047542,11688,7668,4,2020
198190,5336325905,11829,7576,0,2020
160008,5307986831,11773,11461,129,2020
133591,5284386508,10884,5446,129,2020
154319,5302642693,11370,13250,4,2020
186374,5329219707,11370,12953,2,2020
154026,5302465904,10884,10725,128,2020
109289,5264476122,11683,12692,131,2020
177439,5321908721,11823,12918,130,2020
141663,5289328419,11448,10703,129,2020
115619,5269328079,11719,13382,2,2020
178011,5322492226,11604,11997,1,2020
159908,5307921588,11439,9053,2,2020
124686,5276860629,11604,9557,2,2020
161369,5308875942,11806,12920,129,2020
180601,5325067149,11613,11903,0,2020
174573,5319798001,10884,12427,132,2020
196036,5335468148,11370,5850,3,2020
139048,5287322101,11741,12996,128,2020
105015,5260701932,11623,12880,130,2020
114619,5268552750,11099,12965,130,2020
189141,5331119613,11807,9884,131,2020
190757,5332390057,11800,7713,4,2020
117892,5271056971,11719,11968,3,2020
147231,5293881102,11719,13497,2,2020
189526,5331371094,11823,12190,131,2020
101810,5258125016,11419,11890,129,2020
123020,5275718921,11620,12947,1,2020
164301,5310892116,11806,6753,131,2020
182590,5326975281,11823,9462,3,2020
100220,5256755023,11620,6873,2,2020
124390,5276597310,11683,9748,131,2020
129983,5280898867,11620,9212,1,2020
124378,5276597310,11683,8005,4,2020
142310,5290056306,11468,11143,4,2020
165257,5311395136,11700,12939,132,2020
116812,5270098123,11694,8131,3,2020
135664,5285605325,11741,12962,4,2020
162869,5310057522,11773,8776,4,2020
155990,5304812790,11591,12944,4,2020
120306,5273336840,11694,9756,0,2020
118738,5271757604,11719,11993,2,2020
118620,5271690334,11719,11461,131,2020
168907,5314739038,11591,6494,1,2020
100518,5256956955,11688,7466,130,2020
169471,5315281982,11700,4875,128,2020
170743,5316559744,11249,8363,0,2020
131683,5282415492,10884,10007,3,2020
127232,5278358408,10477,5852,130,2020
193008,5333944674,11027,11382,4,2020
157050,5305701352,10884,5804,3,2020
190913,5332590850,11823,13315,132,2020
182968,5327103738,11807,13040,0,2020
149885,5296935341,11668,13064,128,2020
185312,5328856905,11370,8061,4,2020
139623,5288204616,11623,9886,131,2020
107774,5263000711,11623,6545,3,2020
143089,5290524606,11741,13376,3,2020
105569,5261260332,11700,10703,1,2020
188386,5330868908,11807,7733,132,2020
141895,5289487244,11591,9215,2,2020
161988,5309304557,11694,13447,1,2020
113076,5267655710,11623,647,0,2020
167219,5313169206,11700,7829,128,2020
198672,5336387372,11829,4405,128,2020
117938,5271215626,11719,9236,3,2020
109696,5264788288,11604,8630,0,2020
168197,5314302080,11806,10406,3,2020
112880,5267510384,11719,8069,0,2020
144202,5291413169,11448,9196,0,2020
189913,5331590865,11823,9028,3,2020
176480,5321444400,11478,5047,2,2020
183703,5327412516,11823,7667,131,2020
133035,5283693567,11717,13293,131,2020
156194,5305017199,11591,647,2,2020
116224,5269687949,10884,12957,131,2020
174648,5319878357,10884,7784,3,2020
117781,5270896069,11533,6820,0,2020
161621,5309077714,11249,8365,3,2020
174798,5319970416,11604,8068,128,2020
171717,5317705373,10884,7580,128,2020
192361,5333913983,11829,12933,132,2020
185620,5328941783,11807,10703,131,2020
170742,5316493977,11668,12956,2,2020
104094,5260133314,11620,8768,132,2020
193612,5334038310,11829,6403,0,2020
124511,5276647003,11478,12947,129,2020
176286,5321332787,11478,4853,132,2020
125012,5276944598,11620,11997,128,2020
173099,5318780410,11370,12692,1,2020
192690,5333921432,11829,6787,3,2020
174462,5319700729,11823,9741,3,2020
106580,5261991324,11688,12191,128,2020
111164,5265872849,11694,9954,132,2020
127491,5278858084,11620,6739,128,2020
196033,5335468148,11370,5286,3,2020
163870,5310761725,11448,12962,130,2020
122372,5275410364,11620,9167,132,2020
189512,5331371094,11823,9999,0,2020
113613,5267941380,11694,6260,3,2020
168266,5314309908,11806,11127,132,2020
148418,5294617624,11736,9695,4,2020
154494,5302730866,11370,11338,0,2020
124480,5276615934,11694,13376,4,2020
168827,5314662529,11806,10167,1,2020
114070,5268116251,11181,7222,131,2020
196881,5336011779,11478,11266,4,2020
125236,5277005464,10884,4577,131,2020
164063,5310827762,11806,7818,131,2020
153255,5301341422,11736,647,129,2020
121041,5274077659,11613,7472,129,2020
119867,5273137923,11719,9521,130,2020
132824,5283465839,11717,10653,132,2020
178373,5323051771,11823,7814,130,2020
165842,5312149892,11604,7390,130,2020
178162,5322851645,11099,12320,4,2020
115213,5269051453,11688,6711,128,2020
124272,5276569859,11694,12190,4,2020
199251,5336514506,11829,12190,129,2020
118263,5271502639,11719,4427,131,2020
115965,5269583995,10884,6055,129,2020
135413,5285540288,10477,8960,132,2020
104510,5260383668,11613,5885,2,2020
100182,5256688765,11620,12962,128,2020
153113,5301100902,11591,7264,0,2020
137385,5286425042,11620,7154,132,2020
113740,5267955797,11181,8105,2,2020
175017,5320270585,11604,13292,129,2020
122957,5275708727,11657,10163,128,2020
145765,5292743770,10884,9215,129,2020
151056,5297885631,11249,6744,3,2020
140242,5288652824,11736,12626,132,2020
164265,5310889376,11591,8363,4,2020
102107,5258248170,10884,12945,4,2020
198742,5336391941,11829,7814,131,2020
195704,5335342089,11370,7388,3,2020
122625,5275574950,11620,12689,129,2020
109975,5264933097,11099,9565,3,2020
173117,5318829006,11823,630,128,2020
168879,5314684110,11591,10067,2,2020
133740,5284433391,11620,12324,130,2020
181255,5325520915,11823,7481,1,2020
113876,5268031051,11181,6224,128,2020
161219,5308846416,11591,12933,4,2020
155202,5303497074,11773,10368,3,2020
145769,5292743770,10884,10068,132,2020
296275,5388113743,11668,7105,2,2020
222712,5351122681,11823,5878,128,2020
