no,match_id,leagueid,radiant.team_id,radiant.name,radiant.tag,radiant.logo_url,dire.team_id,dire.name,dire.tag,dire.logo_url,data_year
3595,5898668888,11863,8260983,TSM,TSM,https://steamusercontent-a.akamaihd.net/ugc/1996813186806561034/BC39F0DC131EDC7D7D8A9DCE4933B4A8B0966004/,7819028,4 Zoomers,4Zs,https://steamusercontent-a.akamaihd.net/ugc/1602673819877727289/A7BCAD59945257F51E702AEB9CD376A2D186C8B1/,2021
25222,7414192439,15660,8970060,Moonwalkers,MW,https://steamusercontent-a.akamaihd.net/ugc/2029468089264423859/85E899F41FAB04B80B2041B13237C4CA56BE48CF/,8849990,REAL ECLIPSE,RE,https://steamusercontent-a.akamaihd.net/ugc/1929254752465573749/361F2A6C8D795A02396A031F45011DC69AD552AE/,2023
7006,7639747026,15901,9175367,Business Club,bc,https://steamusercontent-a.akamaihd.net/ugc/2041874097465563602/35B8C3D831CFD2EF5A19512410C18F1B7F9C460A/,9344594,Dominion,DO,https://steamusercontent-a.akamaihd.net/ugc/2321112186415898348/871A78A27BBA2ABBD82864F988C23D15C7351836/,2024
2829,6448944083,13896,8360138,Neon Esports,neon,https://steamusercontent-a.akamaihd.net/ugc/1905612771137210708/67688ED3000B1B2140DCDD96275E114F3F9F3BC7/,8680140,Team ScorpioN,,https://steamusercontent-a.akamaihd.net/ugc/1859427396386498058/4CE538CA04C681B33D24A1AB23219904A8A2D587/,2022
8214,6095549358,13330,5896013,The Prime,ThePrime,https://steamusercontent-a.akamaihd.net/ugc/1658973170871965138/BCEC643ED88AFA558E8E5939723632B80F2F93DC/,7623629,ARMY GENIUSES,AG,https://steamusercontent-a.akamaihd.net/ugc/1461932727946344453/052CE6FA4D852FCA354B9E258FC7ED7A5F78F931/,2021
14917,7210097084,15325,9080294,Dragonfire Dominators,DD,https://steamusercontent-a.akamaihd.net/ugc/2026100532599162114/361D4C68BE64E58130F442729FDC87B2FBC4B030/,9081155,Alpha Wolves,AW,https://steamusercontent-a.akamaihd.net/ugc/2026101258017141055/9CFD731287E4222395A383E7ECE31295446B0F85/,2023
9258,7676108803,16344,9254408,The Immortal,Ti,https://steamusercontent-a.akamaihd.net/ugc/2363896044787382613/22481094AB9EA0ACC639C483812E052C15820186/,8736661,Made in Philippines,MIPH,https://steamusercontent-a.akamaihd.net/ugc/1899975198387120959/F3281DD8CF9289232B5D5E73E14662AC465E4F8A/,2024
7305,7075904399,14933,9025669,CrimsonSky,CS,https://steamusercontent-a.akamaihd.net/ugc/2075635690086590897/AE8997D69BAE95D9DEE56EAF662269E793887E3F/,9005364,Night Vision,NV,https://steamusercontent-a.akamaihd.net/ugc/2001324397658024099/35E9953E42B26F1F51DB7285BA04DC200FC27A76/,2023
14036,6287321561,13676,8193681,Team Thailand,THA,https://steamusercontent-a.akamaihd.net/ugc/1692752142641385446/54BF6230D47E44F1E370235FB63AC7EAF070F525/,8598451,Philippines,PH,https://steamusercontent-a.akamaihd.net/ugc/1824516255926313042/23A5A6531990C703E921C8A1AC43D63D029FB32B/,2021
10433,6172514335,13371,8482620,M Y,M Y,https://steamusercontent-a.akamaihd.net/ugc/1698404946593255709/584C31AEB3979F80156F1132B369E37C059DD20B/,8520116,Top Team,,https://steamusercontent-a.akamaihd.net/ugc/1686023592205814420/85C5DFB474FCBFBCE5DB4C27AEE0C6FF7AF29565/,2021
